"crawl_timestamp","Col1","retail_price","is_FK_Advantage_product","brand","Demand"
2016-06-05,"Home",1733,0,"Skipper",1.6679499518768
2016-04-24,"Clothing",4999,0,"Mizuno",1
2016-04-24,"Sports",1637,0,"Turbo",2.00122249388753
2016-04-24,"Sports",1232,0,"Turbo",2
2016-01-06,"Home",1250,0,"Pure Source",3.33333333333333
2016-01-06,"Clothing",1199,0,"",1.50817610062893
2016-01-06,"Clothing",1199,0,"",1.3625
2016-01-06,"Clothing",1699,0,"",1.39835390946502
2016-01-06,"Jewellery",2746,0,"Asian Gems & Jewels",3.99708879184862
2016-01-06,"Jewellery",2973,0,"Asian Gems & Jewels",4.00134589502019
2016-01-06,"Jewellery",1937,0,"Asian Gems & Jewels",2.00103305785124
2016-01-06,"Home",1000,0,"Kings",4.01606425702811
2016-01-06,"Jewellery",16880,0,"Avsar",2
2016-01-06,"Clothing",399,1,"",1.11142061281337
2016-01-06,"Jewellery",18350,0,"Nishtaa",1.05260138817186
2016-01-06,"Footwear",399,0,"",1.33444816053512
2016-01-06,"Clothing",2499,0,"",1.66711140760507
2016-01-06,"Clothing",1799,0,"",2.25156445556946
2016-01-06,"Clothing",2099,0,"Slim",1.428863172226
2016-01-06,"Home",799,0,"Eshoppee",2.00250626566416
2016-01-06,"Jewellery",49999,0,"Karatcraft",1.46106192104263
2016-01-06,"Jewellery",8190,0,"Nishtaa",1.0525639377972
2016-01-06,"Clothing",1205,0,"",1.25
2016-01-06,"Clothing",1299,0,"",1.3003003003003
2016-01-06,"Clothing",999,0,"Slim",2.86246418338109
2016-01-06,"Clothing",999,0,"Slim",2.86246418338109
2016-01-06,"Clothing",999,0,"Slim",2.86246418338109
2016-01-06,"Clothing",1399,1,"Slim",1
2016-01-06,"Clothing",1664,0,"",3.33466933867735
2016-01-06,"Clothing",2499,0,"",3.33644859813084
2016-01-06,"Clothing",999,0,"",2.50375939849624
2016-01-06,"Clothing",1299,0,"",3.0855106888361
2016-01-06,"Clothing",999,0,"",1.42918454935622
2016-01-06,"Clothing",800,0,"",2.00501253132832
2016-01-06,"Clothing",1499,0,"",1.42897998093422
2016-01-06,"Clothing",950,0,"",2.11581291759465
2016-01-06,"Clothing",849,0,"",1.70140280561122
2016-01-06,"Clothing",999,0,"",2.72207084468665
2016-01-06,"Clothing",999,0,"",2.72207084468665
2016-01-06,"Jewellery",47822,0,"Karatcraft",1.45033815546053
2016-01-06,"Jewellery",29366,0,"WearYourShine by PCJ",1
2016-01-06,"Clothing",999,0,"",1
2016-01-06,"Clothing",699,0,"",1
2016-01-06,"Clothing",799,0,"",1
2016-01-06,"Clothing",799,0,"",1
2016-01-06,"Clothing",999,0,"",1
2016-01-06,"Clothing",899,0,"",1
2016-01-06,"Clothing",999,0,"",1
2016-01-06,"Clothing",699,0,"",1
2016-01-06,"Clothing",999,0,"",1
2016-01-06,"Clothing",999,0,"",1
2016-01-06,"Clothing",799,0,"",1
2016-01-06,"Clothing",699,0,"",1
2016-01-06,"Clothing",599,0,"",1
2016-01-06,"Clothing",599,0,"",1
2016-01-06,"Jewellery",29348,0,"BlueStone",1.296060766649
2016-01-06,"Jewellery",42068,0,"Karatcraft",1.20002282062985
2016-01-06,"Jewellery",40267,0,"Karatcraft",1.47915365683429
2016-01-06,"Clothing",1390,0,"",2
2016-01-06,"Clothing",2000,0,"",1.33333333333333
2016-01-06,"Jewellery",43481,0,"Karatcraft",1.20000551967765
2016-01-06,"Clothing",698,0,"",2.04093567251462
2016-01-06,"Jewellery",44247,0,"Karatcraft",1.20001627251031
2016-01-06,"Clothing",1699,0,"Slim",2.83639398998331
2016-01-06,"Clothing",710,0,"",1
2016-01-06,"Clothing",1089,0,"",1.99816513761468
2016-01-06,"Clothing",799,0,"",1.60120240480962
2016-01-06,"Clothing",1419,0,"",1.99859154929577
2016-01-06,"Jewellery",6160,0,"Clara",2.23188405797101
2016-01-06,"Jewellery",5270,0,"Clara",2.23305084745763
2016-01-06,"Jewellery",4210,0,"Clara",2.23936170212766
2016-01-06,"Clothing",1699,0,"",1.66732090284593
