"Col1","retail_price","is_FK_Advantage_product","brand","Demand"
"Clothing",2299,0,"",2.3013013013013
"Mobiles",799,0,"Totta",2.00250626566416
"Clothing",1699,0,"Slim",2.83639398998331
"Beauty",600,0,"",1.25
"Jewellery",48596,0,"Karatcraft",1.57692182886069
"Jewellery",44226,0,"Karatcraft",1.43866497511467
"Clothing",799,0,"",1.05131578947368
"Clothing",1599,0,"",1.42895442359249
"Footwear",499,0,"",1.11135857461025
"Clothing",1999,0,"",1.4288777698356
"Clothing",1699,0,"",1.42893187552565
"Clothing",2099,0,"",1.428863172226
"Clothing",1685,0,"",1
"Clothing",1299,0,"",1.42904290429043
"Jewellery",49542,0,"Karatcraft",1.45241864555849
"Clothing",1375,0,"",1.25570776255708
"Clothing",2394,0,"",3.03807106598985
"Clothing",1799,0,"",1.09030303030303
"Clothing",1395,0,"",1.1673640167364
"Clothing",699,0,"",2.19122257053292
"Clothing",699,0,"",2.19122257053292
"Jewellery",23949,0,"WearYourShine by PCJ",1
"Jewellery",31673,0,"WearYourShine by PCJ",1
"Jewellery",31663,0,"WearYourShine by PCJ",1
"Clothing",2400,0,"",2
"Clothing",1190,0,"",2
"Clothing",1299,0,"",2.60320641282565
"Clothing",1199,0,"",2.40280561122244
"Clothing",4000,0,"",2
"Clothing",1450,0,"",1.38095238095238
"Clothing",499,0,"",1.3899721448468
"Clothing",999,0,"",2.50375939849624
"Clothing",999,0,"",1
"Clothing",1450,0,"",1.42857142857143
"Jewellery",31062,0,"CaratLane",1
"Jewellery",20717,0,"WearYourShine by PCJ",1
"Footwear",2750,0,"",2.11701308698999
"Footwear",3699,0,"",1.42873696407879
"Footwear",3299,0,"",1.42875703767865
"Footwear",2999,0,"",1.42877560743211
"Footwear",699,0,"",1.75187969924812
"Jewellery",15720,0,"Araanz by Tribhovandas Bhimji Zaveri Delhi",1.25
"Jewellery",11880,0,"Nishtaa",1.05263157894737
"Jewellery",8700,0,"Nishtaa",1.05263157894737
"Clothing",599,0,"",1.20040080160321
"Clothing",599,0,"",1.20040080160321
"Clothing",599,0,"",1.20040080160321
"Clothing",599,0,"",1.20040080160321
"Clothing",795,0,"",1.99748743718593
"Clothing",1135,0,"",1.66666666666667
"Clothing",1135,0,"",1.66666666666667
"Clothing",845,0,"",1.38524590163934
"Clothing",875,0,"",1.98863636363636
"Clothing",2099,1,"",1.53885630498534
"Footwear",999,0,"",2.00200400801603
"Footwear",999,0,"",2.00200400801603
"Jewellery",13010,0,"BlueStone",1
"Clothing",1499,0,"",1.42897998093422
"Clothing",1399,0,"",1.42900919305414
"Clothing",985,0,"",1.66666666666667
"Clothing",1425,0,"",1.66666666666667
"Clothing",1290,0,"",2
"Clothing",2164,0,"",3.33436055469954
"Jewellery",10213,0,"WearYourShine by PCJ",1
"Jewellery",10227,0,"WearYourShine by PCJ",1
"Clothing",1399,0,"",2.00143061516452
"Clothing",1399,0,"",2.00143061516452
"Clothing",1399,0,"",2.00143061516452
"Clothing",1399,0,"",2.00143061516452
"Clothing",1399,0,"",2.00143061516452
"Clothing",1399,0,"",2.00143061516452
"Clothing",1399,0,"",2.00143061516452
"Clothing",1399,0,"",2.00143061516452
"Clothing",1499,0,"",2.1444921316166
"Clothing",1195,0,"",2.04273504273504
"Clothing",1799,0,"",2.00111234705228
"Jewellery",7180,0,"Nishtaa",1.05263157894737
